url,plataforma,sede_id
https://www.facebook.com/ArgentinaEnPortoAlegre/,Instagram,CALEG
https://www.instagram.com/argenportoalegre/,Instagram,CALEG
https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/,Facebook,CANTO
https://www.facebook.com/profile.php?id=100014152878593,Facebook,CAREN
https://www.facebook.com/ArgentinaEnBeloHorizonte/,Instagram,CBELO
https://www.instagram.com/consgralbelo/,Instagram,CBELO
https://www.facebook.com/ConsuladoArgentinoenBonn,Instagram,CBONN
http://www.instagram.com/consulado.argentino.bonn,Instagram,CBONN
https://www.facebook.com/ArgEnCiudaddeleste/,Instagram,CCEST
https://www.instagram.com/argenciudaddeleste,Instagram,CCEST
https://www.facebook.com/ArgentinaEnChicago,Youtube,CCHIC
https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured,Youtube,CCHIC
https://www.facebook.com/ArgentinaenColonia,Facebook,CCOLO
https://www.facebook.com/ArgEnCuritiba/,Facebook,CCURI
https://www.facebook.com/ArgentinaEnFozDeIguazu,Instagram,CFDIG
https://www.instagram.com/argentinaenfoz/,Instagram,CFDIG
https://www.facebook.com/cflor.mrecic.gov.ar,Facebook,CFLOR
https://www.facebook.com/argenmumbai,Instagram,CGMUM
https://www.instagram.com/argenmumbai,Instagram,CGMUM
https://www.facebook.com/ArgentinaEnIsrael/,Facebook,CGTEL
https://www.facebook.com/ArgentinaEnHouston/,Facebook,CHOUS
https://www.facebook.com/ArgentinaEnLosAngeles/?ref=aymt_homepage_panel,Facebook,CLANG
https://www.instagram.com/consuladoargentinoenlondres/,Instagram,CLOND
https://www.facebook.com/ArgentinaEnMadridEsp/,Facebook,CMADR
https://www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal,Instagram,CMALD
https://www.instagram.com/consulado_argentino/,Instagram,CMALD
https://www.facebook.com/ArgentinaEnPalmaDeMallorca,Facebook,CMALL
https://www.facebook.com/ArgentinaEnMontevideo/,Facebook,CMDEO
https://www.facebook.com/ConsuladoArgentinoenMilan,Youtube,CMILA
https://www.instagram.com/consuladoargentinoenmilan/,Youtube,CMILA
https://www.youtube.com/channel/UCZdYeN4gttYEyX15xxkUNWQ,Youtube,CMILA
https://www.facebook.com/ARGenNewYork,Youtube,CNYOR
https://www.instagram.com/argennewyork/,Youtube,CNYOR
https://www.youtube.com/channel/UCJFygvT8lgEo1PrQqsHqMKg,Youtube,CNYOR
https://www.facebook.com/ArgentinaEnPuertoMontt/,Facebook,CPMON
https://www.facebook.com/ArgentinaEnBrasilRecife,Instagram,CRECI
https://www.instagram.com/consuladoargentinorecife,Instagram,CRECI
https://www.facebook.com/ArgentinaEnRiodeJaneiro/,Facebook,CRIOJ
https://www.instagram.com/argentinaensalvador,Facebook,CSBAH
https://www.facebook.com/ArgentinaenSalvador,Facebook,CSBAH
https://www.facebook.com/ArgentinaEnSidney/,Facebook,CSIDN
https://www.facebook.com/ArgentinaEnToronto/,Instagram,CTORO
https://www.instagram.com/consuladoargtoronto/,Instagram,CTORO
https://www.facebook.com/ArgEnUruguayana/,Facebook,CURUG
https://www.facebook.com/ArgentinaEnValparaiso,Facebook,CVALP
https://www.instagram.com/argenvigo/,Instagram,CVIGO
https://www.facebook.com/ArgEnVillazon,Facebook,CVILL
https://www.facebook.com/ArgEnAlemania/,Facebook,EALEM
https://www.facebook.com/ArgentinaEnAngola/,Instagram,EANGO
https://www.instagram.com/embargentinaenangola/,Instagram,EANGO
https://www.facebook.com/argentinaenarabiasaudita/,Instagram,EARAB
https://www.instagram.com/arginsaudi/,Instagram,EARAB
https://www.instagram.com/arginarmenia/,Facebook,EARME
https://www.facebook.com/ArgentinaEnArmenia,Facebook,EARME
https://www.facebook.com/Embajada-Argentina-en-Siria-112176794025495,Facebook,EASIR
https://www.facebook.com/ArgentinaEnAustralia/,Facebook,EAUST
https://www.facebook.com/EmbassyOfArgentina/,Facebook,EAZER
https://www.facebook.com/ArgentinaEnBarbados/,Facebook,EBARB
https://www.facebook.com/ArgentinaEnBelgica/,Instagram,EBELG
https://www.instagram.com/argenbelgica/,Instagram,EBELG
https://www.instagram.com/embaargenbrasil,Facebook,EBRAS
https://www.facebook.com/embargbrasil,Facebook,EBRAS
https://www.facebook.com/ArgentinaEnBulgaria/,Youtube,EBULG
https://www.youtube.com/channel/UCK-uSxN84lEMqJwCviEjZow,Youtube,EBULG
https://www.facebook.com/ArgentinaInCanada,Linkedin,ECANA
https://www.youtube.com/channel/UC77DGXZ2ppExRtV4WS4IV-A,Linkedin,ECANA
https://www.instagram.com/argentinaincanada/,Linkedin,ECANA
https://www.linkedin.com/company/argentinaincanada,Linkedin,ECANA
https://www.facebook.com/ARGanteUE,Otras,ECEUR
https://www.linkedin.com/company/arganteue,Otras,ECEUR
https://www.youtube.com/@ARGanteUE,Otras,ECEUR
https://www.flickr.com/people/197084220@N02/,Otras,ECEUR
https://www.facebook.com/ArgentinaEnRepCheca/,Instagram,ECHES
https://www.instagram.com/argentinaenpraga,Instagram,ECHES
https://www.facebook.com/ArgColombia/?ref=bookmarks,Facebook,ECOLO
https://www.facebook.com/ArgentinaEnCorea/,Instagram,ECORE
https://www.instagram.com/embajadaargentinaencorea1/?hl=es,Instagram,ECORE
https://www.facebook.com/ArgentinaEnCubaLaHabana/,Facebook,ECUBA
https://www.facebook.com/EmbajadadeArgentinaenDinamarca/,Facebook,EDINA
https://www.facebook.com/ArgentinaEnEmiratosArabesUnidos,Facebook,EEARB
https://www.facebook.com/Argentina-en-Ecuador-772092829594964/?ref=bookmarks,Youtube,EECUA
https://www.youtube.com/channel/UC7FnoaJNif8jQLyBb4QDKng,Youtube,EECUA
https://www.facebook.com/ARGinUSA/,Youtube,EEEUU
https://www.instagram.com/ARGinUSA/,Youtube,EEEUU
https://www.flickr.com/photos/ARGinUSA/,Youtube,EEEUU
https://www.youtube.com/ARGinUSA,Youtube,EEEUU
https://www.facebook.com/argenespa/,Instagram,EESPA
https://www.instagram.com/argenespa/,Instagram,EESPA
https://www.facebook.com/ArgEnEtiopia/,Instagram,EETIO
https://www.instagram.com/embaargenetiopia/,Instagram,EETIO
https://www.facebook.com/ArgentinaEnFilipinas,Instagram,EFILI
https://www.instagram.com/argentinaenfilipinas/,Instagram,EFILI
https://www.facebook.com/ArgentinaEnFrancia/,Facebook,EFRAN
https://www.facebook.com/EMBAJADAARGENTINAENMOSCU,Facebook,EFRUS
https://www.facebook.com/ArgentinaEnGrecia,Youtube,EGREC
https://www.youtube.com/channel/UCFaKsErEs33zEdzJbnrzOog/featured,Youtube,EGREC
https://www.facebook.com/EmbArgentinaEnChile,Instagram,EHILE
https://www.instagram.com/embargenchile/,Instagram,EHILE
https://www.facebook.com/ArgentinaEnInd,Instagram,EINDI
https://www.instagram.com/argentinaenind/,Instagram,EINDI
https://www.facebook.com/ArgentinaEnIrlanda/,Instagram,EIRLA
https://www.instagram.com/embajadaargentinairlanda,Instagram,EIRLA
https://www.facebook.com/ArgEnIsrael,Facebook,EISRA
https://www.instagram.com/arginitalia/?hl=es,Instagram,EITAL
https://www.facebook.com/ArgentinaEnJamaica/,Facebook,EJAMA
https://www.facebook.com/ArgJapon/?ref=bookmarks,Facebook,EJAPO
https://www.instagram.com/argenkenya/,Instagram,EKENY
https://www.facebook.com/ArgentinaEnLibano,Facebook,ELBNO
https://www.instagram.com/marruecos.embajada/,Instagram,EMARR
https://www.facebook.com/ARGenMexico/,Youtube,EMEXI
https://www.instagram.com/embargenmexico/,Youtube,EMEXI
https://www.youtube.com/user/EmbaArgenMX,Youtube,EMEXI
https://www.facebook.com/ArgentinaEnMozambique/,Facebook,EMOZA
https://www.facebook.com/ArgentinaEnMalasia,Facebook,EMSIA
https://www.facebook.com/ArgentinaEnNigeria/,Instagram,ENIGE
https://www.instagram.com/embargennigeria/?igshid=f0laoeu8lhv8,Instagram,ENIGE
https://www.facebook.com/ArgentinaEnNoruega/,Instagram,ENORU
https://www.instagram.com/ARGenNoruega/,Instagram,ENORU
https://www.facebook.com/ArgentinaEnGinebra,Youtube,EOIRS
https://www.youtube.com/channel/UCSOsChik8j7nFJZnPq6K7Ag,Youtube,EOIRS
https://www.facebook.com/embajada.paraguay,Facebook,EPARA
https://www.facebook.com/ArgEnPaisesBajos/,Facebook,EPBAJ
https://www.facebook.com/ArgentinaEnPeru,Facebook,EPERU
https://www.facebook.com/Embajada-de-la-Rep%C3%BAblica-Argentina-en-Polonia-1726942037398853/,Facebook,EPOLO
