ISO3_origen,ISO3_destino,anio,cantidad
AFG,TUV,1960,0
AFG,UGA,1960,1
AFG,UKR,1960,0
AFG,ARE,1960,25
AFG,GBR,1960,221
AFG,USA,1960,293
AFG,URY,1960,0
AFG,UZB,1960,0
AFG,VUT,1960,3
AFG,VEN,1960,5
AFG,VNM,1960,0
AFG,VIR,1960,0
AFG,VGB,1960,0
AFG,WLF,1960,0
AFG,PSE,1960,39
AFG,YEM,1960,1283
AFG,ZMB,1960,0
AFG,ZWE,1960,1
ALB,AFG,1960,0
ALB,ALB,1960,0
ALB,DZA,1960,16
ALB,ASM,1960,0
ALB,AND,1960,0
ALB,AGO,1960,5
ALB,AIA,1960,0
ALB,ATG,1960,0
ALB,ARG,1960,4
ALB,ARM,1960,0
ALB,ABW,1960,0
ALB,AUS,1960,1410
ALB,AUT,1960,1158
ALB,AZE,1960,0
ALB,BHS,1960,0
ALB,BHR,1960,2
ALB,BGD,1960,0
ALB,BRB,1960,0
ALB,BLR,1960,0
ALB,BEL,1960,1572
ALB,BLZ,1960,0
ALB,BEN,1960,3
ALB,BMU,1960,2
ALB,BTN,1960,0
ALB,BOL,1960,12
ALB,BIH,1960,108
ALB,BWA,1960,0
ALB,BRA,1960,0
ALB,BRN,1960,0
ALB,BGR,1960,86
ALB,BFA,1960,0
ALB,BDI,1960,2
ALB,KHM,1960,6
ALB,CMR,1960,8
ALB,CAN,1960,863
ALB,CPV,1960,8
ALB,CYM,1960,0
ALB,CAF,1960,12
ALB,TCD,1960,0
ALB,CHI,1960,0
ALB,CHL,1960,37
ALB,CHN,1960,2
ALB,COL,1960,0
ALB,COM,1960,0
ALB,COD,1960,106
ALB,COG,1960,11
ALB,COK,1960,0
ALB,CRI,1960,0
ALB,CIV,1960,29
ALB,HRV,1960,1045
ALB,CUB,1960,5
ALB,CYP,1960,0
ALB,CZE,1960,11
ALB,DNK,1960,145
ALB,DJI,1960,0
ALB,DMA,1960,0
ALB,DOM,1960,3
ALB,ECU,1960,0
ALB,EGY,1960,5
ALB,SLV,1960,0
ALB,GNQ,1960,0
ALB,ERI,1960,0
ALB,EST,1960,0
ALB,ETH,1960,12
ALB,FRO,1960,0
ALB,FLK,1960,0
ALB,FJI,1960,5
ALB,FIN,1960,9
ALB,FRA,1960,19179
ALB,GUF,1960,0
ALB,PYF,1960,0
ALB,GAB,1960,3
ALB,GMB,1960,0
ALB,GEO,1960,0
ALB,DEU,1960,4212
ALB,GHA,1960,5
ALB,GIB,1960,0
ALB,GRC,1960,6554
ALB,GRL,1960,0
ALB,GRD,1960,0
ALB,GLP,1960,0
ALB,GUM,1960,1
ALB,GTM,1960,2
ALB,GIN,1960,13
ALB,GNB,1960,0
ALB,GUY,1960,0
ALB,HTI,1960,0
ALB,HND,1960,2
ALB,HKG,1960,5
ALB,HUN,1960,917
ALB,ISL,1960,2
ALB,IND,1960,58
ALB,IDN,1960,46
ALB,IRN,1960,0
ALB,IRQ,1960,8
ALB,IRL,1960,7
ALB,IMN,1960,0
ALB,ISR,1960,29
ALB,ITA,1960,12606
ALB,JAM,1960,0
ALB,JPN,1960,0
ALB,JOR,1960,2
ALB,KAZ,1960,0
ALB,KEN,1960,0
ALB,KIR,1960,0
ALB,PRK,1960,0
ALB,KOR,1960,0
ALB,XKX,1960,0
ALB,KWT,1960,2
ALB,KGZ,1960,0
ALB,LAO,1960,2
ALB,LVA,1960,0
ALB,LBN,1960,60
ALB,LSO,1960,0
ALB,LBR,1960,0
ALB,LBY,1960,1
ALB,LIE,1960,2
ALB,LTU,1960,0
ALB,LUX,1960,11
ALB,MAC,1960,0
ALB,MKD,1960,188
ALB,MDG,1960,0
ALB,MWI,1960,0
ALB,MYS,1960,0
ALB,MDV,1960,0
ALB,MLI,1960,0
ALB,MLT,1960,0
ALB,MHL,1960,0
ALB,MTQ,1960,0
ALB,MRT,1960,0
ALB,MUS,1960,0
ALB,MYT,1960,0
ALB,MEX,1960,32
ALB,FSM,1960,2
ALB,MDA,1960,0
ALB,MCO,1960,8
ALB,MNG,1960,0
ALB,MNE,1960,0
ALB,MSR,1960,0
ALB,MAR,1960,2
ALB,MOZ,1960,0
ALB,MMR,1960,10
ALB,NAM,1960,0
ALB,NRU,1960,0
ALB,NPL,1960,0
ALB,NLD,1960,1237
ALB,ANT,1960,0
ALB,NCL,1960,0
ALB,NZL,1960,29
ALB,NIC,1960,12
ALB,NER,1960,19
ALB,NGA,1960,59
ALB,NIU,1960,0
ALB,NFK,1960,0
ALB,MNP,1960,0
ALB,NOR,1960,4
ALB,OMN,1960,0
ALB,PAK,1960,4
ALB,PLW,1960,0
ALB,PAN,1960,125
ALB,PNG,1960,0
ALB,PRY,1960,0
ALB,PER,1960,19
ALB,PHL,1960,20
ALB,POL,1960,124
ALB,PRT,1960,5
ALB,PRI,1960,0
ALB,QAT,1960,57
ALB,REU,1960,0
ALB,ROU,1960,1567
ALB,RUS,1960,0
ALB,RWA,1960,3
ALB,SHN,1960,0
ALB,SPM,1960,0
ALB,WSM,1960,0
ALB,SMR,1960,0
ALB,STP,1960,0
ALB,SAU,1960,0
ALB,SEN,1960,4
ALB,SRB,1960,0
ALB,SCG,1960,1036
ALB,SYC,1960,0
ALB,SLE,1960,1
ALB,SGP,1960,4
ALB,SVK,1960,4
ALB,SVN,1960,304
ALB,SLB,1960,0
ALB,SOM,1960,0
ALB,ZAF,1960,32
ALB,ESP,1960,84
ALB,LKA,1960,0
ALB,KNA,1960,0
ALB,LCA,1960,0
ALB,VCT,1960,0
ALB,SDN,1960,1
ALB,SUR,1960,0
ALB,SWZ,1960,0
ALB,SWE,1960,44
ALB,CHE,1960,4810
ALB,SYR,1960,2
ALB,TWN,1960,0
ALB,TJK,1960,0
ALB,TZA,1960,10
ALB,THA,1960,34
ALB,TLS,1960,0
ALB,TGO,1960,27
ALB,TKL,1960,0
ALB,TON,1960,0
ALB,TTO,1960,2
ALB,TUN,1960,3
ALB,TUR,1960,5224
ALB,TKM,1960,0
ALB,TCA,1960,0
ALB,TUV,1960,0
ALB,UGA,1960,0
ALB,UKR,1960,0
ALB,ARE,1960,0
ALB,GBR,1960,4
ALB,USA,1960,10047
ALB,URY,1960,1
ALB,UZB,1960,0
ALB,VUT,1960,0
ALB,VEN,1960,0
ALB,VNM,1960,0
ALB,VIR,1960,0
ALB,VGB,1960,0
ALB,WLF,1960,0
ALB,PSE,1960,17
ALB,YEM,1960,10
ALB,ZMB,1960,0
ALB,ZWE,1960,5
DZA,AFG,1960,7
DZA,ALB,1960,0
DZA,DZA,1960,0
DZA,ASM,1960,0
DZA,AND,1960,0
DZA,AGO,1960,10
DZA,AIA,1960,0
DZA,ATG,1960,1
DZA,ARG,1960,71
DZA,ARM,1960,0
DZA,ABW,1960,5
DZA,AUS,1960,130
DZA,AUT,1960,1923
DZA,AZE,1960,0
DZA,BHS,1960,1
DZA,BHR,1960,0
DZA,BGD,1960,16
DZA,BRB,1960,3
DZA,BLR,1960,0
DZA,BEL,1960,1694
DZA,BLZ,1960,0
DZA,BEN,1960,49
DZA,BMU,1960,0
DZA,BTN,1960,0
DZA,BOL,1960,0
DZA,BIH,1960,30
DZA,BWA,1960,6
DZA,BRA,1960,168
DZA,BRN,1960,0
DZA,BGR,1960,33
DZA,BFA,1960,65
DZA,BDI,1960,0
DZA,KHM,1960,13
DZA,CMR,1960,0
DZA,CAN,1960,222
DZA,CPV,1960,3
DZA,CYM,1960,0
DZA,CAF,1960,4
DZA,TCD,1960,0
DZA,CHI,1960,0
DZA,CHL,1960,17
DZA,CHN,1960,5
DZA,COL,1960,4
DZA,COM,1960,0
DZA,COD,1960,2
DZA,COG,1960,4
DZA,COK,1960,0
DZA,CRI,1960,0
DZA,CIV,1960,113
DZA,HRV,1960,0
DZA,CUB,1960,65
DZA,CYP,1960,36
DZA,CZE,1960,3
DZA,DNK,1960,1558
DZA,DJI,1960,0
DZA,DMA,1960,1
DZA,DOM,1960,38
DZA,ECU,1960,0
DZA,EGY,1960,5218
DZA,SLV,1960,1
DZA,GNQ,1960,0
DZA,ERI,1960,0
DZA,EST,1960,0
DZA,ETH,1960,72
DZA,FRO,1960,0
DZA,FLK,1960,0
DZA,FJI,1960,5
DZA,FIN,1960,29
DZA,FRA,1960,626615
DZA,GUF,1960,95
DZA,PYF,1960,58
DZA,GAB,1960,19
DZA,GMB,1960,0
DZA,GEO,1960,0
DZA,DEU,1960,9670
DZA,GHA,1960,7
DZA,GIB,1960,2
DZA,GRC,1960,379
DZA,GRL,1960,0
DZA,GRD,1960,1
DZA,GLP,1960,149
DZA,GUM,1960,1
DZA,GTM,1960,0
DZA,GIN,1960,0
DZA,GNB,1960,0
DZA,GUY,1960,1
DZA,HTI,1960,3
DZA,HND,1960,2
DZA,HKG,1960,15
DZA,HUN,1960,116
DZA,ISL,1960,2
DZA,IND,1960,2351
DZA,IDN,1960,76
DZA,IRN,1960,0
DZA,IRQ,1960,145
DZA,IRL,1960,329
DZA,IMN,1960,0
DZA,ISR,1960,46884
DZA,ITA,1960,7365
DZA,JAM,1960,0
DZA,JPN,1960,0
DZA,JOR,1960,76
DZA,KAZ,1960,0
DZA,KEN,1960,1
DZA,KIR,1960,0
DZA,PRK,1960,0
DZA,KOR,1960,0
DZA,XKX,1960,0
DZA,KWT,1960,0
DZA,KGZ,1960,0
DZA,LAO,1960,2
DZA,LVA,1960,0
DZA,LBN,1960,10
DZA,LSO,1960,0
DZA,LBR,1960,0
DZA,LBY,1960,73
DZA,LIE,1960,3
DZA,LTU,1960,0
DZA,LUX,1960,93
DZA,MAC,1960,0
DZA,MKD,1960,52
DZA,MDG,1960,3
DZA,MWI,1960,1
DZA,MYS,1960,0
DZA,MDV,1960,0
DZA,MLI,1960,450
DZA,MLT,1960,0
DZA,MHL,1960,0
DZA,MTQ,1960,162
DZA,MRT,1960,0
DZA,MUS,1960,0
DZA,MYT,1960,0
DZA,MEX,1960,0
DZA,FSM,1960,2
DZA,MDA,1960,0
DZA,MCO,1960,90
DZA,MNG,1960,0
DZA,MNE,1960,0
DZA,MSR,1960,0
DZA,MAR,1960,94601
DZA,MOZ,1960,0
DZA,MMR,1960,92
DZA,NAM,1960,2
DZA,NRU,1960,0
DZA,NPL,1960,0
DZA,NLD,1960,52
DZA,ANT,1960,24
DZA,NCL,1960,264
DZA,NZL,1960,2
DZA,NIC,1960,19
DZA,NER,1960,353
DZA,NGA,1960,0
DZA,NIU,1960,0
DZA,NFK,1960,0
DZA,MNP,1960,0
DZA,NOR,1960,215
DZA,OMN,1960,1
DZA,PAK,1960,186
DZA,PLW,1960,0
DZA,PAN,1960,10
DZA,PNG,1960,2
DZA,PRY,1960,0
DZA,PER,1960,6
DZA,PHL,1960,34
DZA,POL,1960,4
DZA,PRT,1960,14
DZA,PRI,1960,3
DZA,QAT,1960,9
DZA,REU,1960,158
DZA,ROU,1960,0
DZA,RUS,1960,0
DZA,RWA,1960,0
DZA,SHN,1960,0
DZA,SPM,1960,0
DZA,WSM,1960,0
DZA,SMR,1960,1
DZA,STP,1960,0
DZA,SAU,1960,2
DZA,SEN,1960,5
DZA,SRB,1960,0
DZA,SCG,1960,290
DZA,SYC,1960,0
DZA,SLE,1960,10
DZA,SGP,1960,56
